review,rating,timestamp,author,language,movie_id,title,media_type
"The Substance delivers an intense, visually mesmerizing commentary on the entertainment industry's obsession with youth and outward beauty. Demi Moore and Margaret Qualley offer remarkable, maybe even career-best performances, with Dennis Quaid excelling in his role as well. Coralie Fargeat explores how aging stars, particularly women, are discarded when they no longer meet the industry's strict beauty standards. Moore's character, haunted by the memory of her former fame and beauty, goes down a dark path in pursuit of a ""better"" version of herself. The story is also a sharp critique of power dynamics, with white men controlling who's in front of the spotlight, while women are pitted against one another for validation.

The film's production is equally impressive, especially the makeup and prosthetic work that elevates its body horror elements. While the first half of the movie is more subdued, the gore ramps up significantly as the plot unfolds, culminating in a chaotic ""fourth act"" that will leave audiences bewildered. The fast-paced editing, paired with an impactful score, heightens the tension and surrealism of the narrative. Though there's a part of me who prefers a version of the film that ends before the wild final act, the overall experience is an unforgettable, audacious exploration of vanity, control, and desperation in the entertainment world.

Rating: B+",6,2024-09-20T12:07:43.615Z,Manuel São Bento,unknown,933260,The Substance,movie
"For a film that’s laser-focused on the human body, it’s gloriously on point that THE SUBSTANCE begins with a freshly cracked, bright yellow egg yolk. 

Eggs are the ‘giver of life’, right? They’re the origin of all of us. Gleaming and plump, the yolk suddenly gets pricked – not by a fork, but a syringe.

That’s the first juicy visual metaphor of many in this meaningfully bonkers body horror, for which French filmmaker Coralie Fargeat picked up the prestigious Best Screenplay prize at this year’s Cannes Film Festival.

To call the film ‘bold’ is a weapons-grade understatement. It’s an audacious, jaw-dropping examination of what screens & billboards demand of women (especially as they age), and how laughably impossible it is to meet those demands. Well, if you didn’t laugh, you’d cry. After watching THE SUBSTANCE, you might do both.

Here's our deep dive for good.film: https://good.film/guide/holy-sh-t-the-substance-is-a-weapons-grade-takedown-of-the-male-gaze",6,2024-09-23T05:45:12.879Z,good.film,unknown,933260,The Substance,movie
Demi Moore's performance in The Substance is so potent that it's hard to tell what's more intoxicating; her inevitable Best Actress win or Coralie Fargeat's razor-sharp screenplay that's already got the Oscar in the bag.,7,2024-09-26T10:51:28.161Z,griggs79,unknown,933260,The Substance,movie
"There’s a big difference between being funny and being laughable, yet the latest from writer-director Coralie Fargeat has somehow found a way to be both. After amassing a considerable amount of largely well-earned cinematic goodwill in the film’s opening segments, the picture mercilessly squanders that support in the final act with an overlong, meandering, disgustingly gratuitous and grotesque exhibition of utterly bad taste. This story of an aging actress (Demi Moore) who seeks to revive her career by retrieving some of her lost youth with the aid of an enigmatic injectable follows her grand misadventures when the mysterious substance prompts the emergence of a younger doppelganger (Margaret Qualley), who becomes a Hollywood sex kitten sensation virtually overnight. To make this experimental venture work, however, the two individuals must follow a complex set of rules, dictates that become increasingly difficult to follow as they each vie for their respective shares of attention. And, as this scenario unfolds, tension grows between them, leading to complications and unexpected developments that become progressively harder to manage. But that’s where what works in the film ends. As the story plays out from there, it becomes stupendously absurd, and, even though there are some hearty laughs in this, there are even more ridiculously implausible and unexplained occurrences that try audience members’ patience and tolerance, so much so that I couldn’t wait for this trainwreck to end. In addition to the foregoing shortcomings, the film includes myriad changes in tone, making it difficult to determine whether this is supposed to be a serious thriller or a campy road, very much in the same way as in the incomprehensible French offering “Titane” (2021). It also shamelessly “borrows” elements from other movies in various ways, most notably imagery and narrative references from “The Shining” (1980) and “Young Frankenstein” (1974), costume designs from the “Hunger Games” franchise, and bafflingly inexplicable soundtrack excerpts from films like “Vertigo” (1958). Then there’s the picture’s obvious, heavy-handed message about the perils of misogyny, observations that, as important as they are, could easily stood to have been turned down more than a few notches (yes, we get it already). At the same time, though, there are also some fundamentally innate questions about the narrative that go wholly unanswered, leaving us with numerous head-scratching moments. Sadly, these failings detract significantly from the elements that do work (at least early on in the film), such as the fine performances of Moore and Qualley, the picture’s inventive cinematography, and a central premise that could have made for an engaging story if handled with greater finesse. But these strengths are effectively cancelled by what ultimately results when this release goes off the rails. Indeed, how “The Substance” captured the 2024 Cannes Film Festival award for best screenplay is truly mind boggling. I’m certainly a fan of the weird, wild and wacky, but this release undermines the virtues of those cherished qualities. Regrettably, I was seriously looking forward to seeing this offering, and I was decidedly impressed by what I saw in its opening acts, but that was all wiped out by how this one ultimately played out, a picture that, in the end, ironically relied more on style than “substance.”",5,2024-09-28T04:58:03.527Z,Brent Marchant,unknown,933260,The Substance,movie
"This takes a logical step on from Coralie Fargeat's earlier ""Reality+"" (2014) drama, only this time it takes a much more substantial swipe at all things vain. ""Elisabeth"" (Demi Moore) has been at the top of her fitness game for many a year when her boss ""Harvey"" (Dennis Quaid) decides that she's now too old and that a younger model is needed to present those programmes we all saw on the television of gorgeous, fit and healthy, people showing us how to exercise on a mat in from of our televisions each morning. Distracted by her imminent removal, she is involved in a car accident that introduces her to an handsome young nurse (Robin Grear) and then to a curious invitation to test out a mysterious fluid that can essentially give her her cake and eat it. In best ""Jekyll and Hyde"" tradition, injecting this quite literally creates a split personality. One is her current self, the other a perfect, younger specimen. They work in a rota system each gets a week of consciousness then has to take a week out. Thing is, the more vivacious character ""Sue"" (Margaret Qualley) is not so religious about sticking to these sharing rules and we quickly discover that what is ""borrowed"" can never been returned - with increasingly harrowing results. With the gushing ""Harvey"" determined to capitalise on his new ratings winner, things become decidedly irritating for the now marginalised ""Elisabeth"" - but shat can she do? There's no going back...! I think this is Moore at her best. Her palpable sense of evolving fury, exasperation and frustration is expertly captured as is the selfishness of her alter ego by an on form Qualley. Quaid steals his scenes as the truly odious epitome of corporate greed for whom it's all about the business, the money and never the actual people concerned. The denouement is reminiscent of something concocted by one of the David's - Lynch or Cronenberg, and allows the throbbing ghastliness of this story of vanity gone mad to demonstrate just how fickle life can be when there's little actual substance at all to their shallow and vacuous lives. A savage indictment of the short-term and unprincipled ""beauty"" industry that aims squarely at just about everyone and everything involved, is engagingly toxic and well worth a watch.",6,2024-09-28T06:20:45.132Z,CinemaSerf,unknown,933260,The Substance,movie
"Certainly an experience!

<em>'The Substance'</em> is <b>a lot</b>. It's one of those sorta movies that I needed to let settle in my mind before I even started to think about reviewing it. I'm not even sure where to start. It's insane from pretty much the beginning to the very end of its 140 minute run time, some scenes are particularly rough to watch unfold!

I think the only body horror flick I've seen up until this point is David Cronenberg's <em>'Crimes of the Future'</em> from 2022, which I found to be solid enough but it came across, at least to me, as a bit too forced for shock value. This 2024 release has plenty of that, if not more, but it somehow feels totally at home with what surrounds it.

The story itself is fascinating, even taking out all the craziness with the gore et al. So by no means is this a film that is style over substance (sorry). It isn't anything actually overly original in terms of the base plotline, though the way it is portrayed and brought to life is astounding - every inch is expertly crafted.

Demi Moore is outstanding in this! I haven't seen her in much, at least anything released post-2002, but here she is top quality throughout. Margaret Qualley is obviously the opposite in terms of the former, though is just as fantastic in regards to the latter - great performance!

If you see anyone giving warnings ahead of watching this, they are very much warranted! Even with all the graphic twistedness, which will turn many away, this is an impressively enthralling picture. I may need a lie-down though.",6,2024-10-10T22:58:49.032Z,r96sk,unknown,933260,The Substance,movie
"After the original orgasmatron, we find ourselves back at the very start of the transformer's history with all of the ""Prime"" contraptions having been destroyed in a war and now only ""Sentinel Prime"" exists to lead the bots in a self-perpetuating existence of mining for the fuel that allows them to continue to mine for the fuel. You get the drift. Many of the robots don't have the cogs in their chests necessary to do any transforming, and that includes the lively ""Orion Pax"", his pal ""D-16"" and their feisty supervisor ""Elita-1"", but when a series of incidents occur that sees them escape from their mine onto the forbidden surface they discover an whole new truth that questions not just the history that's been drummed into them, but the very integrity of their leadership. Thing is, can they do anything to thwart a dastardly plan the could ensure the bots stay slaves for ever? As origin stories go, this is one of the better ones. Plenty of action throughout sets a story that doesn't rely (too heavily) on your knowledge of the Hasbro universe, it just allows you to root for the good guys as they battle the menacing and overwhelming forces lined up against them to ensure the new status quo endures and the dead stay exactly that. The story deals with the usual aspects of brotherhood, loyalty, ambition and though there's little actual jeopardy throughout - and, less face it, it's part of an ongoing franchise that's going to run, and run, and run - there's plenty to enjoy as it sets the scene for what's to come. It probably does need a cinema screening to get the best from the grand scale animation and visual effects, and the story and characterisations are not half bad, either.",6,2024-10-16T11:21:45.169Z,CinemaSerf,unknown,698687,Transformers One,movie
"I was going to go and see the first Joaquin Phoenix outing as the ""Joker"" (2019) to remind my self of who did what to whom, but I didn't have time. I think I am glad because I recall that being so very much better than this. Here, we pick up after ""Fleck"" (Phoenix) has been on his clown-faced slaughtering spree and is in prison supervised by prison officer ""Jackie"" (Brendan Gleeson). His lawyer ""Maryanne"" (Catherine Keener) is trying to have him declared competent to stand trial for his crimes so she can plead some sort of personality disorder defence - he's not ""Fleck"" when he's the ""Joker"" sort of thing. Thing is, he encounters ""Lee"" (Lady Gaga) at a prison sing-a-long and she manages to ingratiate herself with him and then to derail that plan ensuring the plot twists it's way into the courtroom where his conviction for multiple homicides quickly appears as inevitable as there being a song in the film. Now I did like the soundtrack, but by the way Todd Phillips has presented this, it might as well have been either Tony Bennett or Newley who took on the leading role as her part is largely a series of entertainingly photographed music videos with the thinnest slices of meat constituting a weak story in between. It's a love story, I suppose, but that wasn't really what I turned up to see. There's loads of excess, but no menace or jeopardy and the character's previous adeptness at treading the thin line between sanity and madness isn't really developed at all here. He comes across more as a pathetic, emaciated, prisoner whose flame has well and truly gone out. His legal antagonist (Harry Lawtey) looks about eleven years old but that doesn't really matter either as the judicial proceedings themselves offer us little by way of sustaining drama, even as we build to a denouement that offers the tiniest bit of hope then... It's a stunning piece of cinema, money has been spent and there's imagination a-plenty from the production's designers. It's just too much of a jigsaw of a film with too little plot serving as a vehicle for an album boxed-set that's doubtless ready to hit the shops.",6,2024-10-05T05:01:49.754Z,CinemaSerf,unknown,889737,Joker: Folie à Deux,movie
both **JOKER** movies were clickbait. he is not the joker & she is not Harley. (they are Arthur & Lee) 🤮**that's what you get for overhyping first movie!** 😂🤣,7,2024-10-05T22:36:20.944Z,YearOneFun,unknown,889737,Joker: Folie à Deux,movie
"FULL SPOILER-FREE REVIEW @ https://talkingfilms.net/joker-folie-a-deux-review-an-ambitious-musical-failure/

""Joker: Folie à Deux holds immense technical and artistic merit, but it fails to replicate the success and impact of the original.

Todd Phillips’ boldness in turning the film into a musical is admirable, but the execution ends up being incoherent, with abrupt transitions between the dark drama and the musical numbers, resulting in a jarring experience, made even more frustrating by the studio’s embarrassing secrecy about the movie’s format.

While visually impressive and with standout performances from Joaquin Phoenix and Lady Gaga, the lack of thematic and character development makes this sequel an ambitious yet ultimately disappointing attempt that adds little to the thought-provoking study presented in 2019.""

Rating: C-",5,2024-10-05T23:31:03.814Z,Manuel São Bento,unknown,889737,Joker: Folie à Deux,movie
"Combining movie genres can be tricky business. When the mix is right, the outcome can be truly impressive, but, when it’s off, it can spell cinematic disaster. In the case of this long-awaited sequel to the 2019 box office and critically acclaimed success, unfortunately, the result is closer to the latter than the former. Picking up where the protagonist’s story left off, this saga about charismatic villain Arthur Fleck (a.k.a., the Joker) (Joaquin Phoenix) finds him in prison awaiting trial for his string of heinous crimes. Most of the picture’s first half takes place here, an unlikely venue for Arthur meeting the love of his life, the psychopathic Lee Quinzel (a.k.a., Harley Quinn) (Lady Gaga), who diligently stands by her man when he eventually goes to court, the primary focus of the film’s second half. So, at this point, the picture is already part prison film, part courtroom drama and part dark romance. But, if that weren’t enough, writer-director Todd Phillips draws upon a fourth genre – musicals – to make the mix even more overstuffed (but, hey, if you’ve got a talent like Lady Gaga at your disposal, why not, right?). The result is a convoluted, overlong, often-uninteresting offering that’s heavy on style but weak on substance and not especially interesting. Admittedly, the performances of the two leads and many of the supporting players (Brendan Gleeson, Catherine Keener and Steve Coogan in particular) are quite good, doing a more than commendable job of making this material look far better than it actually is. In addition, stylistically speaking, the picture is terrific when it comes to its production design, costuming and cinematography. And the soundtrack is great, too, including an array of superbly chosen standards to complement the narrative (even if there are a few too many selections). But these strengths by themselves aren’t enough to make a good picture overall; what’s stuck in between these elements feels more like filler than substance, and that’s where the movie falls apart. In my view, “Joker: Folie à Deux” isn’t as resoundingly awful as many reviewers have made it out to be in light of its artistic and aesthetic accomplishments, but that doesn’t mean this release is not without its share of problems, most notably in the dreadful writing and mishandled film editing. This is one of those pictures where you get to the end and are likely to heave a heavy “Ho hum, so what?” And that’s regrettable, given that the character and this picture’s predecessor both deserved better than what this follow-up has to offer. If you haven’t seen this yet, you might be better off sticking to the picture’s genuinely stellar trailer, as that’s ultimately much better than most of what’s found in this clunky 2:18:00 release.",6,2024-10-06T01:53:04.298Z,Brent Marchant,unknown,889737,Joker: Folie à Deux,movie
Was this a Lady Gaga's special? What a joke.,7,2024-10-13T20:42:17.636Z,biancarockr,unknown,889737,Joker: Folie à Deux,movie
"Great title, great movie.

I had heard tiny bits about <em>'Joker: Folie à Deux'</em> falling below expectations since its release, though they weren't substantial enough to know if the film was any good or not. I have to say, I really enjoyed watching it all play out. It admittedly isn't on the same level as the phenomenal predecessor, but that's OK - I wasn't expecting it to be.

I will say that making this a musical of sorts was a bold choice, it wouldn't have been the direction that I would've went with it but to be honest I thought they executed it nicely. I presume that is one reason many didn't like this, as well as possibly the lack of craziness that seemed like it was on the horizon based on the 2019 flick. For me, mind, it all works.

Joaquin Phoenix is as excellent as anticipated in his reprisal as Joker, while Lady Gaga is a neat piece of casting for Lee - obviously her music chops for one, though I do enjoy her acting too. Lee perhaps could've been used more, but what we got is more than sufficient in my opinion. Brendan Gleeson, elsewhere, does well in a more minor role.

Is is slightly overlong? Possibly. Did we need a sequel? Probably not. All I can confirm is that I had a positive time viewing it, so I can't harbour any noteworthy complaints. It's a shame to now read that this film has seemingly bombed in more ways than one. C'est la vie.",7,2024-10-18T01:14:47.727Z,r96sk,unknown,889737,Joker: Folie à Deux,movie
"Meh I liked it, not as much as Joker (2019) but liked it enough

Not that it didn't have it's problems because it had so many, but not as many as some feel it has

Seems the producers/writers had a few different ideas that they just decided to mush together which created this very average sequel. 

I've seen the first Joker three times, probably wouldn't give this a rewatch, would give a third a watch.",6,2024-10-29T18:22:31.545Z,aGoryLouie,unknown,889737,Joker: Folie à Deux,movie
"<em>'Alien: Romulus'</em> is actually very good.

Of the more modern day releases from this franchise, this is the one I've enjoyed the most. When I was immediately coming out of the cinema I was just plainly thinking of it as being solidly good, however the more I think about it the more I had fun with this seventh installment.

The plot, or at least the set-up to it, is quite uncreative, as in I feel like so many films - from this series included - have a crew make-up of similar people and similar characteristics/motivations; <em>'Crater'</em> and <em>'I.S.S.'</em> (both very good, don't get me wrong) are recent examples that spring to mind. Happily, though, the rest of the flick makes up for any weakness in that area.

Cailee Spaeny and David Jonsson are the great performers in this, I found them both to be excellent throughout. Two actors I want to see much more of, having already seen them in a few pleasing pictures; e.g. <em>'Civil War'</em> and <em>'Rye Lane'</em>.

I also liked the sound design and even the jump scares, which I'm not usually a fan of (bit lazy etc.) but there is enough about how they do them here that it works. Those facehuggers remain brilliantly effective, though the xenomorph isn't amazingly utilised - the human version didn't hit for me, felt <em>'I Am Legend'</em>-esque.

All in all, it's up there as one of my favourites from the franchise. For me, <em>'Alien'</em> and <em>'Aliens'</em> just narrowly better this, though it's a marginal improvement on (the entertaining) <em>'Alien Resurrection'</em> and it surpasses every other release, in my eyes.",6,2024-08-16T18:24:55.893Z,r96sk,unknown,945961,Alien: Romulus,movie
"I gather director Fede Alvarez made a conscious - and probably expensive - decision to keep the use of CGI to a minimum here and it really does work. ""Rain"" (Cailee Spaeny) and her ""brother"" are looking to get off-planet but she can't get travel papers from the all-powerful mining company. Desperate, she and ""Andy"" (David Jonsson) are offered a chance by wide boys ""Tyler"" (Archie Renaux) and ""Bjorn"" (Spike Fearn) to raid a decrepit old spacecraft that appears to be in a decaying orbit, so they can pinch it's cryogenic pods and enable them all to escape to another planet out of reach of their enthralling taskmasters. Off they set onto the ""Romulus"" and that's where, well you just know what's going to happen now, as they inadvertently turn the central heating on and find themselves in mortal danger. ""Andy"" just happens to be a synthetic, which proves especially useful when they discover the remains of ""Rook"" (the spitting image of the late Sir Ian Holm) but is this oozing mess of gunge and wiring actually an help or an hindrance? Getting off is going to be a lot harder than getting on! To be honest, the acting here is really neither here nor there. Renaux and Isabella Merced - their cohort ""Kay"" do enough, Fearn rather over-plays his chip-on-the-shoulder character and there's a slightly soporific effort from Jonsson, but that's not what I was watching for. This is all about the best monsters sci-fi cinema has ever created, and right from their first appearance I was in their corner. There's loads of darkly shot menace crammed into the two hours with plenty of references to it's originator and even more insinuations about the greed of a ""company"" that doesn't know when to leave well alone. Just like the other ""Alien"" films, it takes a Russian Doll approach to the ending, so don't think we're going to get off with just the one, definitive, ""get away from her..."" moment, and of course the lift plays a pivotal part in the proceedings as acid blood drips everywhere. It's not so good as the first two Sigourney Weaver outings, but slips neatly into bronze medal position for me in a series that can still prove quite compellingly scary. It's a cinema must - telly just won't do the lighting and photography justice at all.",5,2024-08-20T08:47:06.469Z,CinemaSerf,unknown,945961,Alien: Romulus,movie
"Whilst not as awful as the Aliens franchise films that came after the excellent first and second films, starring Sigourney Weaver, Alien Romulus is not without its shortcomings. 

Whats immediately noticeable, in spite of the rugged, industrial setting, is a cast that look like they just escaped from the set of Beverly Hills 90210. Youthful, fresh faced, physically unimposing, with not a grease stain or blemish in sight, they feel badly out of place. 

If you can put the sense of disbelief regarding the casting aside (I couldn't) the actual story fares only marginally better. It feels like a borrowed affair, where its taken aspects of the first two successful films and tried to craft a newer iteration.

The results an alright, if at times, somewhat ridiculous story, punctuated by moments of compelling action. That said, haven't we seen it all before, in one form or another? 

In summary, miscasting combined with a story that blandly apes superior earlier films, leads to an ""okay"" watch that's fails to distinguish itself.If you are new to this franchise, my advice start with Alien from 1979 and then its plural successor Aliens, instead.",5,2024-08-21T00:53:05.907Z,MovieGuys,unknown,945961,Alien: Romulus,movie
